sequence_id,label,total_frames,detected_frames,valid_frame_ratio,step_speed,sway_frequency_hz,step_length_asymmetry_ratio,mean_core_visibility
adl-01-cam0-rgb,adl,75,52,0.6933333333333334,0.10712441860652275,0.29137529137529145,0.20557924415896467,0.9428461476778373
adl-02-cam0-rgb,adl,90,65,0.7222222222222222,0.08884343735532015,0.21938845468257231,0.0026469820206298593,0.933245826073182
adl-03-cam0-rgb,adl,90,58,0.6444444444444445,0.15167602247358095,0.2612330198537095,0.01404663267650917,0.9395604453895285
adl-04-cam0-rgb,adl,75,42,0.56,0.058664198421928535,0.3607503607503607,0.11486700785653309,0.958882063627243
adl-05-cam0-rgb,adl,90,82,0.9111111111111111,0.0825358922397474,0.1847745750184774,0.2414557646852779,0.9472545002534138
adl-06-cam0-rgb,adl,115,75,0.6521739130434783,0.09720985353424277,0.20202020202020202,0.38701879856263033,0.9539062596691982
adl-07-cam0-rgb,adl,90,80,0.8888888888888888,0.08080609079648435,0.18939393939393942,0.19271956621898495,0.9733785331249237
adl-08-cam0-rgb,adl,90,77,0.8555555555555555,0.08458941053387944,0.39354584809130266,0.10807574204124118,0.967579104296573
adl-09-cam0-rgb,adl,75,54,0.72,0.08493241259423279,0.2805836139169473,0.07426177512798429,0.9686414586541092
adl-10-cam0-rgb,adl,150,75,0.5,0.09071017419379283,0.13715132981188025,0.39999441355884346,0.960851265721851
adl-11-cam0-rgb,adl,150,59,0.3933333333333333,0.07746791477030507,0.25680534155110424,0.28599440840740353,0.9777964619593431
adl-12-cam0-rgb,adl,125,38,0.304,0.10357107290622644,0.3073498139287614,0.2236732758867752,0.8961724079491799
adl-13-cam0-rgb,adl,133,43,0.3233082706766917,0.10218491061242237,0.3523608174770966,0.5287661600348051,0.9388618725676869
adl-14-cam0-rgb,adl,118,64,0.5423728813559322,0.1524257073601465,0.22598140495867772,0.28012310823832726,0.9254103632022939
adl-15-cam0-rgb,adl,138,56,0.4057971014492754,0.057582765376934256,0.17507002801120453,0.36475794202138045,0.9006773866713047
adl-16-cam0-rgb,adl,120,51,0.425,0.16153404523118767,0.7073536485301193,0.4366802378803709,0.8890550058651595
adl-17-cam0-rgb,adl,115,46,0.4,0.0867571316670199,0.3087944664031621,0.543445571071819,0.9177694497764974
adl-18-cam0-rgb,adl,133,31,0.23308270676691728,0.14051319187022404,0.48875855327468215,0.5174606943570967,0.8982320716304164
adl-19-cam0-rgb,adl,125,32,0.256,0.06075252800644372,0.47348484848484845,0.33168548702368383,0.9034058358520269
adl-20-cam0-rgb,adl,135,33,0.24444444444444444,0.11033121777903294,0.4591368227731864,0.555929367956438,0.8949819923651339
adl-21-cam0-rgb,adl,140,35,0.25,0.08049055361719051,0.2133132567915177,0.5178482448935878,0.8969649252437408
adl-22-cam0-rgb,adl,120,23,0.19166666666666668,0.12593371752074198,0.45289855072463764,0.31878165224894994,0.8853519170180609
adl-23-cam0-rgb,adl,110,26,0.23636363636363636,0.21843105190249432,0.5603370987986371,0.35417148386079683,0.8766903277391042
adl-24-cam0-rgb,adl,35,13,0.37142857142857144,0.09304789943422018,0.4113533525298232,0.19662145345731719,0.962786812048692
