dataset,relative_path,file_name,label,modality,source_url,size_bytes,sha256
urfd,urfd/original/fall-01-cam0-rgb.zip,fall-01-cam0-rgb.zip,fall,rgb,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-01-cam0-rgb.zip,57727213,e5ff96108d322d7fe5ba6871a4c50d9c26c59e74abea03d2b69b6be56521736f
urfd,urfd/original/fall-01-data.csv,fall-01-data.csv,fall,metadata,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-01-data.csv,2466,60e156223725e401155b4fd25a672c498ed5b4e17897337c6971d90041818bcc
urfd,urfd/original/fall-02-cam0-rgb.zip,fall-02-cam0-rgb.zip,fall,rgb,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-02-cam0-rgb.zip,41132305,8918e078c85f821ae897b8041ae789bdec7ba2f264a3e83b4fb22cf9443180e7
urfd,urfd/original/fall-02-data.csv,fall-02-data.csv,fall,metadata,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-02-data.csv,1631,a254fe2a53402149db758c9048a971eaa5149772fda9992bcb835f4edcb069fa
urfd,urfd/original/fall-03-cam0-rgb.zip,fall-03-cam0-rgb.zip,fall,rgb,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-03-cam0-rgb.zip,81909306,aab255558971c870f3f7d9b0fd85c681100f1b90d94640535ea0919915b1ef3b
urfd,urfd/original/fall-03-data.csv,fall-03-data.csv,fall,metadata,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-03-data.csv,3348,ae908cb5bd084a65126570a1a4d276218dc8751f30c51cafc4ad2ebf87369d22
urfd,urfd/original/fall-04-cam0-rgb.zip,fall-04-cam0-rgb.zip,fall,rgb,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-04-cam0-rgb.zip,35816205,032be8d9424e99d58a16067d2e6363c2aa3904753b485aca3daecf7541d59e52
urfd,urfd/original/fall-04-data.csv,fall-04-data.csv,fall,metadata,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-04-data.csv,1412,bc37f51337f9aa68777c96b873517565fc1245393d42ce735e37db5083abbebb
urfd,urfd/original/fall-05-cam0-rgb.zip,fall-05-cam0-rgb.zip,fall,rgb,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-05-cam0-rgb.zip,54362110,a9c993a0407db55d322a156acd3e6c31f0e8be3a59db4a55514bb2278aba1d3f
urfd,urfd/original/fall-05-data.csv,fall-05-data.csv,fall,metadata,https://fenix.ur.edu.pl/~mkepski/ds/data/fall-05-data.csv,2321,447f004b51e3b84f803f52e9eac5eb30064ef4008dc49472ba3592b44f28c130
