planned_slot_id,clip_id,participant_id,capture_date,scenario_id,record_role,repeat_index,protocol_variant,ground_truth,event_start_ms,event_end_ms,lighting,camera_position_id,source_mode,simulated,authorization_record_id,dataset_split,validity,exclusion_reason,video_relpath,sha256,planned_duration_seconds,notes
P01-BASE_NORMAL_WALK_L2R-01,P01-BASE_NORMAL_WALK_L2R-01,P01,,BASE_NORMAL_WALK_L2R,BASELINE,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-BASE_NORMAL_WALK_L2R-02,P01-BASE_NORMAL_WALK_L2R-02,P01,,BASE_NORMAL_WALK_L2R,BASELINE,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-BASE_NORMAL_WALK_R2L-01,P01-BASE_NORMAL_WALK_R2L-01,P01,,BASE_NORMAL_WALK_R2L,BASELINE,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-BASE_NORMAL_WALK_R2L-02,P01-BASE_NORMAL_WALK_R2L-02,P01,,BASE_NORMAL_WALK_R2L,BASELINE,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-BASE_SIT_RISE_STABLE-01,P01-BASE_SIT_RISE_STABLE-01,P01,,BASE_SIT_RISE_STABLE,BASELINE,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,20,
P01-BASE_SIT_RISE_STABLE-02,P01-BASE_SIT_RISE_STABLE-02,P01,,BASE_SIT_RISE_STABLE,BASELINE,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,20,
P01-BASE_WALK_STOP_TURN-01,P01-BASE_WALK_STOP_TURN-01,P01,,BASE_WALK_STOP_TURN,BASELINE,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,16,
P01-BASE_WALK_STOP_TURN-02,P01-BASE_WALK_STOP_TURN-02,P01,,BASE_WALK_STOP_TURN,BASELINE,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,16,
P01-POS_RAPID_RISE_SWAY-01,P01-POS_RAPID_RISE_SWAY-01,P01,,POS_RAPID_RISE_SWAY,EVALUATION,1,GOLDEN_115S,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,115,
P01-POS_RAPID_RISE_SWAY-02,P01-POS_RAPID_RISE_SWAY-02,P01,,POS_RAPID_RISE_SWAY,EVALUATION,2,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,25,
P01-POS_RAPID_RISE_SWAY-03,P01-POS_RAPID_RISE_SWAY-03,P01,,POS_RAPID_RISE_SWAY,EVALUATION,3,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,25,
P01-POS_RAPID_RISE_SWAY-04,P01-POS_RAPID_RISE_SWAY-04,P01,,POS_RAPID_RISE_SWAY,EVALUATION,4,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,25,
P01-POS_SLOW_SMALL_STEP_SWAY-01,P01-POS_SLOW_SMALL_STEP_SWAY-01,P01,,POS_SLOW_SMALL_STEP_SWAY,EVALUATION,1,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-POS_SLOW_SMALL_STEP_SWAY-02,P01-POS_SLOW_SMALL_STEP_SWAY-02,P01,,POS_SLOW_SMALL_STEP_SWAY,EVALUATION,2,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-POS_SLOW_SMALL_STEP_SWAY-03,P01-POS_SLOW_SMALL_STEP_SWAY-03,P01,,POS_SLOW_SMALL_STEP_SWAY,EVALUATION,3,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-POS_SLOW_SMALL_STEP_SWAY-04,P01-POS_SLOW_SMALL_STEP_SWAY-04,P01,,POS_SLOW_SMALL_STEP_SWAY,EVALUATION,4,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-POS_ASYMMETRIC_STEP-01,P01-POS_ASYMMETRIC_STEP-01,P01,,POS_ASYMMETRIC_STEP,EVALUATION,1,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-POS_ASYMMETRIC_STEP-02,P01-POS_ASYMMETRIC_STEP-02,P01,,POS_ASYMMETRIC_STEP,EVALUATION,2,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-POS_ASYMMETRIC_STEP-03,P01-POS_ASYMMETRIC_STEP-03,P01,,POS_ASYMMETRIC_STEP,EVALUATION,3,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-POS_ASYMMETRIC_STEP-04,P01-POS_ASYMMETRIC_STEP-04,P01,,POS_ASYMMETRIC_STEP,EVALUATION,4,STANDARD,RISK_PRECURSOR,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,15,
P01-NEG_NORMAL_RISE_WALK-01,P01-NEG_NORMAL_RISE_WALK-01,P01,,NEG_NORMAL_RISE_WALK,EVALUATION,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,20,
P01-NEG_NORMAL_RISE_WALK-02,P01-NEG_NORMAL_RISE_WALK-02,P01,,NEG_NORMAL_RISE_WALK,EVALUATION,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,20,
P01-NEG_NORMAL_RISE_WALK-03,P01-NEG_NORMAL_RISE_WALK-03,P01,,NEG_NORMAL_RISE_WALK,EVALUATION,3,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,20,
P01-NEG_NORMAL_RISE_WALK-04,P01-NEG_NORMAL_RISE_WALK-04,P01,,NEG_NORMAL_RISE_WALK,EVALUATION,4,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,20,
P01-NEG_RAPID_RISE_STABLE-01,P01-NEG_RAPID_RISE_STABLE-01,P01,,NEG_RAPID_RISE_STABLE,EVALUATION,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,22,
P01-NEG_RAPID_RISE_STABLE-02,P01-NEG_RAPID_RISE_STABLE-02,P01,,NEG_RAPID_RISE_STABLE,EVALUATION,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,22,
P01-NEG_RAPID_RISE_STABLE-03,P01-NEG_RAPID_RISE_STABLE-03,P01,,NEG_RAPID_RISE_STABLE,EVALUATION,3,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,22,
P01-NEG_RAPID_RISE_STABLE-04,P01-NEG_RAPID_RISE_STABLE-04,P01,,NEG_RAPID_RISE_STABLE,EVALUATION,4,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,22,
P01-NEG_BOUNDARY_NORMAL-01,P01-NEG_BOUNDARY_NORMAL-01,P01,,NEG_BOUNDARY_NORMAL,EVALUATION,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,16,
P01-NEG_BOUNDARY_NORMAL-02,P01-NEG_BOUNDARY_NORMAL-02,P01,,NEG_BOUNDARY_NORMAL,EVALUATION,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,16,
P01-NEG_BOUNDARY_NORMAL-03,P01-NEG_BOUNDARY_NORMAL-03,P01,,NEG_BOUNDARY_NORMAL,EVALUATION,3,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,16,
P01-NEG_BOUNDARY_NORMAL-04,P01-NEG_BOUNDARY_NORMAL-04,P01,,NEG_BOUNDARY_NORMAL,EVALUATION,4,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,CALIBRATION,,,,,16,
P02-BASE_NORMAL_WALK_L2R-01,P02-BASE_NORMAL_WALK_L2R-01,P02,,BASE_NORMAL_WALK_L2R,BASELINE,1,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,VALIDATION,,,,,15,
P02-BASE_NORMAL_WALK_L2R-02,P02-BASE_NORMAL_WALK_L2R-02,P02,,BASE_NORMAL_WALK_L2R,BASELINE,2,STANDARD,NORMAL_CONTROL,,,,C6c-pos01,RECORDED_REPLAY,TRUE,,VALIDATION,,,,,15,
