capture_order,sequence_id,scenario_id,record_role,target,expected_sequence_result,master_filename,master_duration_s,formal_windows,direction_or_variant,manual_acceptance,status,rejection_reason,parent_sha256,asset_sha256_manifest_path,hash_verification_status
1,SV15F-POS-RS-01,POS_RAPID_RISE_SWAY,TEST,IMMEDIATE_ORANGE,ORANGE,SV15F-POS-RS-01.mp4,30,I1=00:00-00:25,先左后右_第2和第4次换向侧步,完整起身_至少3次换向_至少1次清楚补偿步_全身双脚可见,PENDING,,,,
2,SV15F-POS-RS-02,POS_RAPID_RISE_SWAY,TEST,IMMEDIATE_ORANGE,ORANGE,SV15F-POS-RS-02.mp4,30,I1=00:00-00:25,先右后左_第1和第3次换向侧步,完整起身_至少3次换向_至少1次清楚补偿步_全身双脚可见,PENDING,,,,
3,SV15F-POS-RS-03,POS_RAPID_RISE_SWAY,TEST,IMMEDIATE_ORANGE,ORANGE,SV15F-POS-RS-03.mp4,30,I1=00:00-00:25,左脚侧步后右脚回收,完整起身_至少3次换向_至少1次清楚补偿步_全身双脚可见,PENDING,,,,
4,SV15F-POS-RS-04,POS_RAPID_RISE_SWAY,TEST,IMMEDIATE_ORANGE,ORANGE,SV15F-POS-RS-04.mp4,30,I1=00:00-00:25,右脚侧步后左脚回收,完整起身_至少3次换向_至少1次清楚补偿步_全身双脚可见,PENDING,,,,
5,SV15F-POS-SS-01,POS_SLOW_SMALL_STEP_SWAY,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-SS-01-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,左向右_两窗口同方向,每窗口行走至少8秒_至少6周期_小步并轻微摆动_全身双脚可见,PENDING,,,,
6,SV15F-POS-SS-02,POS_SLOW_SMALL_STEP_SWAY,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-SS-02-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,右向左_两窗口同方向,每窗口行走至少8秒_至少6周期_小步并轻微摆动_全身双脚可见,PENDING,,,,
7,SV15F-POS-SS-03,POS_SLOW_SMALL_STEP_SWAY,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-SS-03-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,左向右_两窗口同方向,每窗口行走至少8秒_至少6周期_小步并轻微摆动_全身双脚可见,PENDING,,,,
8,SV15F-POS-SS-04,POS_SLOW_SMALL_STEP_SWAY,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-SS-04-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,右向左_两窗口同方向,每窗口行走至少8秒_至少6周期_小步并轻微摆动_全身双脚可见,PENDING,,,,
9,SV15F-POS-AS-01,POS_ASYMMETRIC_STEP,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-AS-01-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,左长右短_左向右,每窗口至少6周期_左右步幅差持续可见_评分窗口不转身,PENDING,,,,
10,SV15F-POS-AS-02,POS_ASYMMETRIC_STEP,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-AS-02-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,右长左短_右向左,每窗口至少6周期_左右步幅差持续可见_评分窗口不转身,PENDING,,,,
11,SV15F-POS-AS-03,POS_ASYMMETRIC_STEP,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-AS-03-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,左长右短_右向左,每窗口至少6周期_左右步幅差持续可见_评分窗口不转身,PENDING,,,,
12,SV15F-POS-AS-04,POS_ASYMMETRIC_STEP,TEST,GAIT_TREND,YELLOW_NO_ORANGE_ON_T2,SV15F-POS-AS-04-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,右长左短_左向右,每窗口至少6周期_左右步幅差持续可见_评分窗口不转身,PENDING,,,,
13,SV15F-NEG-NR-01,NEG_NORMAL_RISE_WALK,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-NR-01-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,自然起身_左向右,每段自然起身_正常对称行走至少6周期_无摇晃补偿步_T1T2不含起身,PENDING,,,,
14,SV15F-NEG-NR-02,NEG_NORMAL_RISE_WALK,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-NR-02-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,自然起身_右向左,每段自然起身_正常对称行走至少6周期_无摇晃补偿步_T1T2不含起身,PENDING,,,,
